,Country_Name,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Country_Code,Average
1,Albania,0.627,0.33,0.068,-0.172,-0.393,0.553,-0.08,0.073,-0.023,-0.119,-0.2,-0.077,-0.299,-0.134,-0.203,-0.672,0.545,-0.822,0.225,-0.404,-0.313,0.237,-0.059,-0.212,-0.042,0.629,-0.049,0.43,-0.005,0.814,-0.263,0.105,0.117,1.37,-0.136,0.003,0.113,0.838,0.722,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322,1.665,1.601,1.269,2.146,1.823,1.623,1.682,ALB,1.1545
4,Andorra,0.744,0.102,-0.762,0.3,-0.492,0.407,0.621,-0.013,-0.176,0.081,-0.355,-0.526,-0.01,-0.412,0.207,-0.081,-0.111,-0.174,0.046,-0.199,0.167,1.048,0.856,-0.159,0.058,0.392,0.353,0.856,1.152,1.724,0.215,0.368,0.175,1.502,1.245,0.535,1.736,0.98,1.02,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857,1.546,1.83,1.771,1.761,1.813,2.401,1.367,AND,1.0555
13,Austria,1.031,-0.624,-0.729,-0.371,-0.884,0.603,0.678,0.214,-0.123,-0.549,-0.058,0.108,-0.031,0.316,0.862,0.216,0.5,-0.474,-0.11,-0.272,0.279,0.389,1.068,-0.242,-0.56,0.325,-0.256,0.827,1.11,1.268,0.13,1.25,0.529,1.962,0.943,-0.198,0.517,1.347,0.985,1.768,1.504,1.539,1.473,0.839,0.638,0.921,2.15,1.593,1.552,0.662,1.381,1.791,1.103,2.427,2.183,2.111,1.753,2.535,2.369,2.32,1.397,AUT,1.214
19,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.271,0.023,1.139,1.498,-0.276,0.358,0.704,1.504,1.94,1.977,1.891,0.08,0.926,1.271,0.642,2.357,2.247,1.593,1.434,0.989,1.526,1.169,2.137,2.211,2.168,1.562,2.31,2.65,3.476,1.683,BLR,1.683
20,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.468,1.317,1.378,1.505,1.07,1.178,1.379,1.864,1.238,1.142,0.215,1.268,1.113,0.449,2.399,1.35,1.861,1.695,2.151,2.038,2.528,1.15,BEL,1.15
31,Bulgaria,0.901,0.488,-0.249,-0.532,-0.456,1.151,0.029,0.419,-0.484,0.202,-0.144,0.133,-0.429,-0.206,0.382,-0.852,0.556,-0.725,0.156,-0.462,-0.061,-0.139,0.376,-0.031,-0.615,0.345,-0.496,0.122,0.4,0.788,-0.162,0.139,-0.329,1.582,0.219,-0.358,-0.333,0.779,0.694,1.183,1.629,0.833,0.159,0.496,0.18,0.538,1.858,1.165,1.273,1.335,0.399,1.659,1.462,1.207,1.458,1.932,0.987,2.228,2.19,2.182,1.795,BGR,1.348
56,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829,0.402,1.715,0.431,-0.029,0.313,1.157,0.706,1.623,1.596,1.266,1.287,0.68,0.307,0.735,1.995,1.468,1.51,0.878,1.269,1.857,1.282,2.044,1.933,1.843,1.562,2.321,2.117,2.024,1.622,HRV,1.622
58,Cyprus,0.017,0.78,0.728,-0.591,-0.199,0.657,-0.738,-0.011,0.158,0.489,-0.217,-0.559,-0.328,-0.171,-0.217,-0.711,0.148,-0.02,0.616,-0.289,0.097,-0.326,-0.799,0.007,-0.078,0.235,-0.285,0.018,0.073,0.049,0.345,-0.964,-0.457,1.015,0.026,0.221,-0.028,0.921,1.05,0.589,1.119,0.811,0.564,0.603,0.329,0.615,0.804,1.021,0.973,1.981,0.692,0.949,1.221,1.066,1.184,1.561,0.844,2.183,1.589,1.746,2.082,CYP,1.0495
59,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,1.797,1.03,-0.617,0.118,1.247,1.1,1.902,1.219,1.523,1.074,0.814,0.742,0.948,2.161,1.635,1.413,0.396,1.029,1.57,0.77,2.494,2.112,2.067,1.585,2.641,2.533,2.331,1.29,CZE,1.29
